id,texto,tipo_ambiguedad,fenomeno,dominio,objetivo_didactico
1,El banco aprobó el crédito,lexica,banco,economía,Distinguir institución financiera de asiento.
2,El banco del parque estaba mojado,lexica,banco,vida cotidiana,Distinguir asiento de institución financiera.
3,La planta requiere agua cada mañana,lexica,planta,biología,Distinguir organismo vegetal de instalación.
4,La planta industrial cerró temprano,lexica,planta,economía,Distinguir instalación industrial de organismo vegetal.
5,El cura habló con los vecinos,lexica,cura,social,Distinguir sacerdote de tratamiento.
6,La cura redujo el dolor del paciente,lexica,cura,salud,Distinguir tratamiento de sacerdote.
7,La capital recibió inversión extranjera,lexica,capital,economía,Distinguir ciudad de recursos financieros.
8,El capital de la empresa aumentó,lexica,capital,economía,Distinguir recursos financieros de ciudad.
9,El ratón dejó de funcionar en la laptop,lexica,raton,tecnología,Distinguir dispositivo de animal.
10,El ratón salió de la bodega,lexica,raton,vida cotidiana,Distinguir animal de dispositivo.
11,El gato levantó el automóvil,lexica,gato,mecánica,Distinguir herramienta de animal.
12,El gato durmió sobre la silla,lexica,gato,vida cotidiana,Distinguir animal de herramienta.
13,La sierra cortó la madera,lexica,sierra,herramientas,Distinguir herramienta de montaña.
14,La sierra recibió nieve durante la noche,lexica,sierra,geografía,Distinguir región montañosa de herramienta.
15,La vela iluminó la habitación,lexica,vela,vida cotidiana,Distinguir objeto de cera de vela náutica.
16,El barco ajustó la vela principal,lexica,vela,náutica,Distinguir pieza náutica de objeto de cera.
17,El curso inicia el sábado,lexica,curso,educación,Distinguir asignatura de trayectoria.
18,El río cambió su curso después de la tormenta,lexica,curso,geografía,Distinguir trayectoria de asignatura.
19,La red presentó fallas de conexión,lexica,red,tecnología,Distinguir infraestructura informática de red física.
20,La red atrapó varios peces,lexica,red,pesca,Distinguir objeto físico de red digital.
21,La copa quedó sobre la mesa,lexica,copa,vida cotidiana,Distinguir recipiente de torneo.
22,La copa reunió a varios equipos,lexica,copa,deportes,Distinguir torneo de recipiente.
23,La columna sostiene el techo,lexica,columna,arquitectura,Distinguir soporte físico de sección textual.
24,La columna del periódico criticó la reforma,lexica,columna,comunicación,Distinguir texto periodístico de soporte físico.
25,Vi al estudiante con el telescopio,sintactica,adjunción preposicional,educación,Decidir si el telescopio modifica la acción o al estudiante.
26,La alumna observó al investigador con la cámara,sintactica,adjunción preposicional,investigación,Decidir quién tiene o usa la cámara.
27,El profesor calificó el proyecto difícil,sintactica,modificación adjetival,educación,Decidir si difícil modifica proyecto o acción.
28,El docente revisó el reporte con errores,sintactica,adjunción preposicional,educación,Decidir si los errores son del reporte o de la revisión.
29,El sistema analizó documentos de alumnos avanzados,sintactica,modificación nominal,educación,Decidir si avanzados modifica alumnos o documentos.
30,La profesora explicó la práctica con ejemplos complejos,sintactica,adjunción preposicional,educación,Decidir si los ejemplos son medio o parte de la práctica.
31,El parser procesó la oración con la herramienta,sintactica,adjunción preposicional,PLN,Decidir si herramienta procesó o acompaña la oración.
32,El equipo evaluó el resultado del programa automático,sintactica,modificación nominal,tecnología,Decidir si automático modifica programa o resultado.
33,La universidad publicó resultados de estudiantes sobresalientes,sintactica,modificación nominal,educación,Decidir si sobresalientes modifica estudiantes o resultados.
