id,texto,senales_semanticas,tipo_esperado,posible_problema
3,La planta requiere agua cada mañana,la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
4,La planta industrial cerró temprano,la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
6,La cura redujo el dolor del paciente,la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
7,La capital recibió inversión extranjera,la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
8,El capital de la empresa aumentó,la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
9,El ratón dejó de funcionar en la laptop,la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
10,El ratón salió de la bodega,la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
12,El gato durmió sobre la silla,la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
13,La sierra cortó la madera,la | la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
14,La sierra recibió nieve durante la noche,la | la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
15,La vela iluminó la habitación,la | la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
16,El barco ajustó la vela principal,la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
18,El río cambió su curso después de la tormenta,su | despues | la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
19,La red presentó fallas de conexión,la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
20,La red atrapó varios peces,la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
21,La copa quedó sobre la mesa,la | la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
22,La copa reunió a varios equipos,la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
23,La columna sostiene el techo,la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
24,La columna del periódico criticó la reforma,la | la,lexica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
26,La alumna observó al investigador con la cámara,la | la,sintactica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
30,La profesora explicó la práctica con ejemplos complejos,la | la,sintactica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
31,El parser procesó la oración con la herramienta,la | la,sintactica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
33,La universidad publicó resultados de estudiantes sobresalientes,la,sintactica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
36,El estudiante guardó el archivo en la carpeta equivocada,la,sintactica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
37,La aplicación mostró mensajes de usuarios molestos,la,sintactica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
41,La alumna entregó el análisis en la plataforma institucional,la | la,sintactica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
43,El profesor observó a la estudiante con lentes,la,sintactica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
44,La coordinación revisó solicitudes de alumnos pendientes,la,sintactica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
47,La comisión evaluó proyectos de docentes externos,la,sintactica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
49,Todos los alumnos no entregaron la evidencia,todos | no | la,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
50,La profesora habló con la alumna porque ella tenía dudas,la | la | porque | ella,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
51,El estudiante no resolvió todos los ejercicios,no | todos,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
52,La empresa contrató a los técnicos antes de capacitarse,la | antes,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
53,El sistema rechazó el archivo porque estaba incompleto,porque,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
54,La universidad informó a los docentes que ellos debían registrarse,la | ellos,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
55,Pocos estudiantes no aprobaron el examen,pocos | no,semantica,"Revisar referencia, alcance, cuantificador, causalidad o roles."
